                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5502,                 1.7722,                 2.0936,                0.61567,                 0.5198,                0.57698,                0.31958,                  1.554,                 1.7127,                 2.1886,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.5432,                 1.7255,                 2.0558,                0.65628,                0.54765,                0.59863,                0.34003,                  1.488,                 1.6413,                 2.0745,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.515,                 1.7384,                 2.0446,                0.61538,                0.56163,                 0.5819,                0.30192,                  1.504,                  1.728,                 2.1036,               0.001307,               0.001307,               0.001307
                     37,                 1.5193,                 1.7403,                 2.0498,                0.64453,                0.58263,                0.62159,                0.33435,                 1.4525,                 1.6365,                 2.0314,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.4929,                 1.7033,                 2.0179,                0.65743,                0.55971,                0.61188,                0.32874,                 1.4829,                 1.6344,                 2.0807,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5052,                  1.706,                  2.038,                0.68219,                0.53598,                0.60746,                0.33611,                 1.5179,                 1.5591,                 2.0794,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.5035,                 1.7147,                 2.0498,                0.64325,                0.52419,                0.59852,                0.34501,                 1.4472,                 1.6442,                 2.0495,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.4787,                 1.6867,                  2.021,                0.64968,                0.60555,                0.62687,                0.34938,                 1.4101,                 1.7041,                 1.9859,               0.001208,               0.001208,               0.001208
                     42,                 1.4701,                 1.6326,                 2.0066,                0.71673,                0.55247,                0.62091,                0.35358,                 1.4815,                 1.6419,                 2.0823,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.4542,                 1.6063,                 1.9841,                0.63516,                0.59641,                0.64074,                0.37621,                 1.3597,                 1.5563,                 1.9587,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.4242,                 1.6137,                 1.9559,                0.64406,                0.56333,                0.62164,                0.35764,                  1.365,                 1.5512,                 1.9438,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4296,                 1.6285,                 1.9633,                0.64613,                0.57046,                0.61907,                0.34534,                 1.4003,                 1.6328,                 1.9889,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.4433,                  1.619,                 1.9931,                0.68706,                0.56212,                0.63172,                0.35479,                  1.455,                 1.5983,                 2.0336,               0.001109,               0.001109,               0.001109
                     47,                 1.4104,                 1.6351,                 1.9517,                 0.7313,                0.58745,                0.67407,                0.39293,                  1.319,                 1.4786,                 1.9296,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3986,                 1.5804,                 1.9337,                0.70898,                0.55127,                0.64828,                0.38879,                 1.3562,                 1.4999,                 1.9366,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.3976,                 1.6198,                 1.9445,                0.68986,                0.59349,                0.64182,                0.37691,                 1.3111,                   1.57,                 1.8829,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3489,                 1.5747,                 1.9069,                 0.6947,                0.59107,                0.65502,                0.39067,                 1.2925,                 1.4912,                 1.8765,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.3499,                 1.5044,                 1.8779,                0.75066,                0.62002,                0.70354,                0.43288,                 1.2882,                 1.3893,                  1.903,                0.00101,                0.00101,                0.00101
                     52,                 1.3462,                 1.4801,                 1.8869,                0.77658,                0.60917,                0.71341,                0.46648,                 1.2293,                 1.3488,                 1.8108,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.2893,                  1.481,                 1.8336,                0.80771,                0.59283,                0.70687,                0.44379,                  1.291,                 1.3672,                 1.8642,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.3115,                 1.5329,                 1.8559,                0.73302,                0.62606,                0.70477,                0.42584,                 1.3181,                 1.3686,                 1.8907,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.3171,                 1.5051,                  1.863,                0.75883,                0.61761,                0.71151,                0.44537,                 1.2137,                 1.3523,                 1.7985,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.3021,                 1.4879,                 1.8349,                0.76359,                0.62002,                0.70492,                 0.4517,                 1.1946,                 1.3419,                 1.7904,               0.000911,               0.000911,               0.000911
                     57,                 1.2952,                  1.436,                 1.8397,                0.78675,                0.65421,                0.73569,                0.47747,                 1.1734,                 1.2698,                 1.7482,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.2997,                 1.4615,                 1.8395,                0.74596,                0.66586,                 0.7385,                0.47799,                 1.1945,                 1.2784,                 1.7801,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2685,                 1.4292,                 1.8017,                0.74162,                0.60072,                0.66579,                0.41684,                  1.274,                 1.4775,                 1.8852,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2716,                 1.3931,                  1.802,                0.80703,                0.60314,                 0.7021,                0.43357,                 1.2797,                 1.3935,                  1.844,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2985,                 1.4361,                 1.8382,                 0.8206,                0.62123,                0.72891,                0.48214,                 1.1714,                 1.2865,                 1.7707,               0.000812,               0.000812,               0.000812
                     62,                 1.2931,                 1.4475,                 1.8384,                0.79748,                0.64602,                0.74433,                 0.4936,                 1.1584,                 1.2347,                 1.7513,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.2499,                 1.3984,                 1.7831,                 0.7477,                0.64415,                0.73086,                0.49197,                 1.1244,                 1.2645,                 1.7025,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2431,                 1.3771,                 1.7909,                0.77952,                0.66345,                0.74814,                0.50121,                 1.1101,                 1.2051,                  1.699,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2431,                 1.4245,                 1.7875,                0.78113,                0.65862,                 0.7392,                0.50247,                 1.1373,                 1.2026,                  1.708,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.2283,                  1.355,                 1.7677,                0.75892,                0.67189,                 0.7606,                0.51288,                 1.1259,                 1.1995,                 1.6892,               0.000713,               0.000713,               0.000713
                     67,                 1.2269,                 1.3689,                  1.766,                0.78861,                0.67052,                0.74309,                0.48827,                 1.1779,                 1.2438,                 1.7755,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.1799,                 1.3384,                 1.7483,                0.79333,                0.64828,                0.75749,                0.51442,                 1.1019,                 1.1788,                 1.6632,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1802,                 1.3223,                 1.7332,                0.83882,                0.65862,                0.77215,                0.52548,                 1.0903,                 1.1356,                 1.6602,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.1921,                 1.3364,                 1.7436,                0.77742,                0.70567,                0.77522,                0.53262,                  1.086,                 1.1205,                 1.6551,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.2233,                 1.3244,                 1.7664,                0.83568,                0.66869,                0.78019,                0.54116,                 1.0679,                 1.1147,                 1.6299,               0.000614,               0.000614,               0.000614
                     72,                 1.2088,                 1.3417,                 1.7423,                0.80653,                0.66377,                  0.778,                 0.5441,                 1.0588,                 1.1103,                 1.6189,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.188,                 1.3094,                  1.723,                0.81004,                0.70205,                0.79343,                0.56057,                 1.0335,                 1.0827,                 1.6013,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.1458,                 1.2475,                 1.7176,                0.82648,                0.70095,                0.79725,                0.56568,                 1.0209,                 1.0655,                 1.5845,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1767,                 1.3005,                 1.7376,                0.85133,                0.67672,                0.79918,                0.56191,                 1.0326,                  1.054,                  1.599,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1775,                 1.2804,                 1.7225,                0.78314,                0.69263,                0.78185,                0.54327,                 1.0407,                 1.1146,                 1.6162,               0.000515,               0.000515,               0.000515
                     77,                  1.136,                 1.2605,                 1.6881,                0.82453,                0.70929,                0.79966,                0.57468,                0.99809,                  1.044,                 1.5633,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1538,                 1.2518,                  1.706,                0.83408,                0.69733,                0.80579,                0.56984,                  1.019,                  1.036,                  1.569,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1381,                 1.2718,                 1.6911,                0.79295,                0.70219,                0.80244,                0.55997,                 1.0401,                   1.05,                 1.6021,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.1584,                 1.2768,                 1.7053,                0.81125,                0.69843,                0.79833,                0.56858,                 1.0191,                 1.0346,                 1.5668,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1471,                 1.2321,                 1.6898,                0.86782,                0.66104,                0.79866,                0.57831,                0.98924,                 1.0298,                 1.5367,               0.000416,               0.000416,               0.000416
                     82,                 1.1323,                 1.2368,                 1.6755,                0.81487,                0.72014,                0.81154,                0.59723,                0.95599,                0.97679,                 1.5064,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1336,                 1.2009,                 1.6703,                 0.8589,                0.68516,                0.80253,                0.56105,                 1.0277,                   1.02,                 1.5798,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1114,                 1.2086,                 1.6565,                0.88577,                0.71411,                  0.825,                0.60611,                0.95576,                 0.9596,                 1.5091,              0.0003566,              0.0003566,              0.0003566
                     85,                  1.125,                 1.2298,                 1.6539,                0.82646,                0.74427,                0.82466,                0.60973,                0.95363,                0.97875,                  1.518,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1226,                 1.2446,                 1.6706,                0.86718,                0.70881,                0.82193,                0.60725,                0.93944,                0.96879,                 1.4936,               0.000317,               0.000317,               0.000317
